126, 'http://v.youku.com/v_show/id_XNzMwMzAyOTg0.html', 'game.youku.com', '英雄联盟', '真人跳小苹果 韩服22杀,逆天4杀瑞兹', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
127, 'http://v.youku.com/v_show/id_XNzMwMjc3NjA4.html', 'game.youku.com', '英雄联盟', '新版卡萨丁逆风19杀恐怖输出', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
128, 'http://game.youku.com/index/lol/_page93117_1.html', 'game.youku.com', '英雄联盟', '', '', '', 'list', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'done');
129, 'http://v.youku.com/v_show/id_XNzI5NDEyMDA0.html', 'game.youku.com', '英雄联盟', '史诗杯具 离胜利仅一秒！', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
130, 'http://v.youku.com/v_show/id_XNzI5NzYwNzMy.html', 'game.youku.com', '英雄联盟', ' JAX空血反双杀 血战5-17大逆风局', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
131, 'http://v.youku.com/v_show/id_XNzI5ODc4NTY4.html', 'game.youku.com', '英雄联盟', '快嘴高贱翔第三期.PPD强力推荐！十个亚索怎么玩', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
132, 'http://v.youku.com/v_show/id_XNzI5ODUwNDMy.html', 'game.youku.com', '英雄联盟', '精彩TOP10 VOL49 Faker的妖姬你怕不怕？', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
133, 'http://v.youku.com/v_show/id_XNzI5NDMwNjY0.html', 'game.youku.com', '英雄联盟', '流浪法师瑞兹上单，强力上路霸主级的便宜货', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
134, 'http://v.youku.com/v_show/id_XNzI5NTIwNzM2.html', 'game.youku.com', '英雄联盟', '玩转S4第21期 不惧挂机演员 亚索4V5史诗胜利', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
135, 'http://v.youku.com/v_show/id_XNzI4OTgzODUy.html', 'game.youku.com', '英雄联盟', '布隆大叔带领您打穿下路', '', '', 'content', 0, 0, 0, 'machine', '0000-00-00 00:00:00', 'wait4edit');
